,rpm,u_hp,Q_pcm,soc,outdoor_temp,e_price,load,u_pcm,e,EER
877,2594.14669714101,0.0,0.0,0.6773781738327836,19.075,0.06831000000000001,0.0,0.0,0.0,9.230860180862308
878,2534.1532670533907,0.0,0.0,0.8608776828555071,19.0249999999999,0.06831000000000001,0.0,0.0,0.0,9.280244104656337
879,2225.6437909240585,1.0,0.0,0.6241003298427686,18.975,0.06831000000000001,0.0,0.0,0.0,9.266979339836862
880,2754.671790752481,1.0,0.0,0.23905380780440266,18.9249999999999,0.06931999999999999,0.0,0.0,0.0,9.103168093512492
881,2079.3225606912715,1.0,0.0,0.6316104878727552,18.8999999999999,0.06931999999999999,0.0,0.0,0.0,9.147698412472367
882,2031.3141937103378,0.0,0.0,0.8253413492523975,18.8999999999999,0.06931999999999999,0.0,0.0,0.0,9.084698816904961
883,1200.889503227672,0.0,0.0,0.509681927437739,18.8999999999999,0.06931999999999999,0.0,0.0,0.0,6.614538173693113
884,1993.204766251136,0.0,1.25,0.40920647473873695,18.8999999999999,0.08091,0.0,1.0,0.0,9.028478693021135
885,1654.1990483582863,1.0,1.25,0.5569704772660639,18.9624999999999,0.08091,0.0,1.0,0.0,8.2706688897075
886,2313.7156657785918,1.0,1.25,0.029225350483494728,19.0874999999999,0.08091,0.0,1.0,0.0,9.2827885480234
887,2674.142072519292,1.0,1.25,0.6131724227902057,19.2124999999999,0.08091,0.0,1.0,0.0,9.126092269851464
888,1763.5426122451058,1.0,0.0,0.23157329434351093,19.3374999999999,0.08927,0.0,0.0,0.0,8.463460776700764
889,1439.8493013049065,0.0,1.25,0.7470641594664345,19.5,0.08927,0.0,1.0,0.0,7.44249826298156
890,1869.5147010512565,1.0,1.25,0.7883860506707312,19.6999999999999,0.08927,0.0,1.0,0.0,8.608278830241995
891,2738.577294483702,1.0,1.25,0.05375362324256894,19.8999999999999,0.08927,0.0,1.0,0.0,8.88133224643601
892,2638.40291418943,0.0,1.25,0.6502126534394601,20.1,0.093,0.0,1.0,0.0,8.940926333468404
893,2815.8628772642332,0.0,1.25,0.28257848445415634,20.2999999999999,0.093,0.0,1.0,0.0,8.673852318009438
894,1903.4411879772292,1.0,1.25,0.7754700487790497,20.5,0.093,0.0,1.0,0.0,8.478999828232704
895,1849.0287909814529,0.0,0.0,0.7456475045956962,20.7,0.093,0.0,0.0,0.0,8.322531097238329
896,2782.019243930312,1.0,1.25,0.06330051205869791,20.8999999999999,0.08811000000000001,0.15315302970789235,1.0,0.017849726358027472,8.58013319845744
897,1804.4448233044332,0.0,1.25,0.0586843676217651,21.1125,0.08811000000000001,0.30878386923874446,1.0,0.03799511511893413,8.126936009331052
898,1809.8433619725681,1.0,1.25,0.7501431953094205,21.3374999999999,0.08811000000000001,0.30070028826541595,1.0,0.03718848475385247,8.08584405241909
899,1910.8869896046779,0.0,0.0,0.09402047937435154,21.5625,0.08811000000000001,0.2915146819100271,0.0,0.03537759351825356,8.240093599346041
900,1951.459138748069,0.0,-1.25,0.159472130980984,21.7874999999999,0.08628000000000001,0.441197900456165,1.0,0.05341480061904024,8.25984362654151
901,2178.403621795553,0.0,-0.0,0.5719753045621953,22.0,0.08628000000000001,0.6903811381235812,0.0,0.08122053693899788,8.50008094186947
902,2136.2088775792,0.0,-1.25,0.8455996959823348,22.1999999999999,0.08628000000000001,0.6955505482615923,1.0,0.08265737433868067,8.414863813743231
903,1432.4002991395,1.0,-0.0,0.5214889847494082,22.3999999999999,0.08628000000000001,1.0974217271935938,0.0,0.163221372358826,6.723517339267439
904,2658.357812666247,1.0,-0.0,0.4650133463643815,22.6,0.08587,1.0424654310063513,0.0,0.1251034519163699,8.33282707261528
905,2187.900525352705,0.0,-1.25,0.26627764015561006,22.7999999999999,0.08587,1.105234532170995,1.0,0.13276000746531513,8.325056267112283
906,2421.3103345274476,1.0,-0.0,0.22580643074164686,23.0,0.08587,1.1871416451663945,0.0,0.14189914756663258,8.366094268529274
907,2041.8030618349776,0.0,-1.25,0.26957593773358646,23.2,0.08587,1.303694665474172,1.0,0.16141923335823496,8.076451847475353
908,2330.431891123859,0.0,-0.0,0.8513855146517537,23.3999999999999,0.08218,1.2475247364884963,0.0,0.15088893158118863,8.267834647747122
909,2124.4631059120834,0.0,-0.0,0.09446892442771027,23.5,0.08218,0.5802680230537932,0.0,0.07155334043851867,8.10958677117781
910,1720.2625942154327,1.0,-1.25,0.7505726551212556,23.5,0.08218,0.5140370493401595,1.0,0.06969260674386585,7.375775901586629
911,1867.7285478336266,0.0,-0.0,0.5367692796692781,23.5,0.08218,0.5464349610901865,0.0,0.07082632885672237,7.715138846114605
912,1622.446639884277,0.0,-1.25,0.19353432982949936,23.5,0.07926000000000001,1.029537310833609,1.0,0.1448977060402552,7.105269910536643
913,1299.2736091120128,0.0,-0.0,0.4060909867447319,23.5,0.07926000000000001,1.0793804593832805,0.0,0.18128392197124643,5.954088192964414
914,2816.135443057422,0.0,-1.25,0.8624891287513694,23.5,0.07926000000000001,1.1126297167326242,1.0,0.14029027976095523,7.930910955687501
915,1960.4598827043692,0.0,-0.0,0.3678209414603213,23.5,0.07926000000000001,1.6035679800195362,0.0,0.20333356063450206,7.886391085739141
916,1331.215415213482,0.0,-0.0,0.15015454629178993,23.5,0.08091,1.5924150597741429,0.0,0.26167484738579877,6.085472393249837
917,1440.445800067957,1.0,-0.0,0.9012722445586823,23.5,0.08091,0.4923740843127201,0.0,0.07568486291238888,6.505582032733302
918,2162.0406260828927,1.0,-1.25,0.9323617478429824,23.5,0.08091,0.4977716747690312,1.0,0.06110332641839198,8.146392413412094
919,2285.104958974249,0.0,-0.0,0.06072617719423179,23.5,0.08091,0.48849062485260897,0.0,0.05935834986872816,8.229518272204551
